Reference,Qty,Description,Part Number,Manufacturer,Digikey
"R1,R2,R3,R5,R6,R7,R8",7,RES 68 OHM 1% 1/4W 1206,RC1206FR-1068RL,YAGEO,13-RC1206FR-1068RLCT-ND
R4,1,RES 15 OHM 1% 1/4W 1206,RC1206FR-1015RL,YAGEO,13-RC1206FR-1015RLCT-ND
PWR,1,LED BLUE CLEAR 1206 SMD,LTST-C150TBKT,Lite-On Inc.,160-1643-1-ND
LED1,1,LED GREEN CLEAR 1206 SMD,LTST-C150KGKT,Lite-On Inc.,160-1404-1-ND
LED2,1,LED YELLOW CLEAR 1206 SMD,LTST-C150KSKT,Lite-On Inc.,160-1406-1-ND
LED3,1,LED RED CLEAR 1206 SMD,LTST-C150KRKT,Lite-On Inc.,160-1405-1-ND
"LEDS1,LEDS2,LEDS3,LEDS4",4,LED ORANGE CLEAR 1206 SMD,LTST-C150KFKT,Lite-On Inc.,160-1403-1-ND
C1,1,CAP ALUM 150UF 20% 6.3V RADIAL,UPW0J151MED,Nichicon,493-1698-ND
"P1,P2,P3,P4",4,SWITCH TACTILE SPST-NO 0.05A 24V,1825910-6,TE Connectivity ALCOSWITCH Switches,450-1650-ND
RPI-CONN,1,CONN HDR 40POS 0.1 TIN PCB,PPTC202LFBN-RC,Sullins Connector Solutions,S6104-ND
